harmonized_cell_state	search_term	assay_title	accession	biosample	organism	status	total_for_query	url	notes
HSC_HSPC	CD34	DNase-seq	ENCSR191EII	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR191EII/	
HSC_HSPC	CD34	DNase-seq	ENCSR122VUW	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR122VUW/	
HSC_HSPC	CD34	DNase-seq	ENCSR271QSV	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR271QSV/	
HSC_HSPC	CD34	DNase-seq	ENCSR320TUJ	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR320TUJ/	
HSC_HSPC	CD34	DNase-seq	ENCSR735BIM	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR735BIM/	
HSC_HSPC	CD34	DNase-seq	ENCSR564TUY	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR564TUY/	
HSC_HSPC	CD34	DNase-seq	ENCSR727QHM	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR727QHM/	
HSC_HSPC	CD34	DNase-seq	ENCSR772HUG	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR772HUG/	
HSC_HSPC	CD34	DNase-seq	ENCSR807KAK	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR807KAK/	
HSC_HSPC	CD34	DNase-seq	ENCSR722QLI	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR722QLI/	
HSC_HSPC	CD34	DNase-seq	ENCSR468ZXN	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR468ZXN/	
HSC_HSPC	CD34	DNase-seq	ENCSR639ZJI	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR639ZJI/	
HSC_HSPC	CD34	DNase-seq	ENCSR281HBB	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR281HBB/	
HSC_HSPC	CD34	DNase-seq	ENCSR495INQ	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR495INQ/	
HSC_HSPC	CD34	DNase-seq	ENCSR453EVC	common myeloid progenitor, CD34-positive	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR453EVC/	
HSC_HSPC	CD34	DNase-seq	ENCSR000EMK	hematopoietic multipotent progenitor cell	Homo sapiens	released	20	https://www.encodeproject.org/experiments/ENCSR000EMK/	DNase-seq on human CD34+ (Mobilized)
HSC_HSPC	CD34	polyA plus RNA-seq	ENCSR830HIN	common myeloid progenitor, CD34-positive	Homo sapiens	released	1	https://www.encodeproject.org/experiments/ENCSR830HIN/	
HSC_HSPC	CD34	total RNA-seq	ENCSR000CUA	hematopoietic multipotent progenitor cell	Homo sapiens	released	1	https://www.encodeproject.org/experiments/ENCSR000CUA/	The libraries contained in this experiment come from the whole cell fraction of independent isolates of mobilized CD34+ blood progenitor cells. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.
HSC_HSPC	CD34	CAGE	ENCSR000CKE	hematopoietic multipotent progenitor cell	Homo sapiens	released	1	https://www.encodeproject.org/experiments/ENCSR000CKE/	CAGE on human CD34+ mobilized cellular greater than 200nt polyA+ RNA
T	T cell	ATAC-seq	ENCSR248ZAC	T-helper 17 cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR248ZAC/	
T	T cell	ATAC-seq	ENCSR373NFA	activated naive CD4-positive, alpha-beta T cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR373NFA/	
T	T cell	ATAC-seq	ENCSR174SUM	activated naive CD4-positive, alpha-beta T cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR174SUM/	
T	T cell	ATAC-seq	ENCSR513EVP	naive thymus-derived CD8-positive, alpha-beta T cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR513EVP/	
T	T cell	ATAC-seq	ENCSR283LPH	naive thymus-derived CD8-positive, alpha-beta T cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR283LPH/	
T	T cell	ATAC-seq	ENCSR019XCN	effector memory CD8-positive, alpha-beta T cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR019XCN/	
T	T cell	ATAC-seq	ENCSR159GFS	CD4-positive, CD25-positive, alpha-beta regulatory T cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR159GFS/	
T	T cell	ATAC-seq	ENCSR165FYY	central memory CD8-positive, alpha-beta T cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR165FYY/	
T	T cell	ATAC-seq	ENCSR545UJP	activated CD8-positive, alpha-beta T cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR545UJP/	
T	T cell	ATAC-seq	ENCSR261PWP	activated CD4-positive, CD25-positive, alpha-beta regulatory T cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR261PWP/	
T	T cell	ATAC-seq	ENCSR477YSU	activated naive CD8-positive, alpha-beta T cell	Homo sapiens	released	334	https://www.encodeproject.org/experiments/ENCSR477YSU/	
T	T cell	DNase-seq	ENCSR683QJJ	CD4-positive, alpha-beta T cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR683QJJ/	
T	T cell	DNase-seq	ENCSR793UEF	T-helper 17 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR793UEF/	
T	T cell	DNase-seq	ENCSR650QOL	T-helper 1 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR650QOL/	
T	T cell	DNase-seq	ENCSR654RJL	T-helper 1 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR654RJL/	
T	T cell	DNase-seq	ENCSR453RFW	T-helper 1 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR453RFW/	
T	T cell	DNase-seq	ENCSR167JFX	CD4-positive, alpha-beta T cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR167JFX/	
T	T cell	DNase-seq	ENCSR139KYP	T-helper 17 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR139KYP/	
T	T cell	DNase-seq	ENCSR623PVB	T-helper 17 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR623PVB/	
T	T cell	DNase-seq	ENCSR537TXP	T-helper 17 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR537TXP/	
T	T cell	DNase-seq	ENCSR058ELM	T-helper 1 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR058ELM/	
T	T cell	DNase-seq	ENCSR370YEN	T-helper 1 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR370YEN/	
T	T cell	DNase-seq	ENCSR643GHI	CD4-positive, alpha-beta T cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR643GHI/	
T	T cell	DNase-seq	ENCSR842OFU	T-helper 2 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR842OFU/	
T	T cell	DNase-seq	ENCSR000EQF	T-helper 17 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR000EQF/	UW human Th17 DNase-seq and DGF
T	T cell	DNase-seq	ENCSR000EQE	T-helper 1 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR000EQE/	DNase-seq on human Th1 (Wb54553204)
T	T cell	DNase-seq	ENCSR000EQC	T-helper 1 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR000EQC/	DNase-seq and DGF on human Th1
T	T cell	DNase-seq	ENCSR162NNR	effector memory CD8-positive, alpha-beta T cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR162NNR/	
T	T cell	DNase-seq	ENCSR831ZGB	effector memory CD8-positive, alpha-beta T cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR831ZGB/	
T	T cell	DNase-seq	ENCSR580MXV	effector memory CD4-positive, alpha-beta T cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR580MXV/	
T	T cell	DNase-seq	ENCSR232FAS	effector memory CD8-positive, alpha-beta T cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR232FAS/	
T	T cell	DNase-seq	ENCSR665ZKM	central memory CD8-positive, alpha-beta T cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR665ZKM/	
T	T cell	DNase-seq	ENCSR278WQA	T-helper 9 cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR278WQA/	
T	T cell	DNase-seq	ENCSR160VHJ	central memory CD8-positive, alpha-beta T cell	Homo sapiens	released	1786	https://www.encodeproject.org/experiments/ENCSR160VHJ/	
T	T cell	polyA plus RNA-seq	ENCSR545MEZ	CD4-positive, alpha-beta T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR545MEZ/	
T	T cell	polyA plus RNA-seq	ENCSR167NUS	naive thymus-derived CD8-positive, alpha-beta T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR167NUS/	polyA plus RNA-seq of naive thymus-derived CD8-positive, alpha-beta T cell.
T	T cell	polyA plus RNA-seq	ENCSR230KVL	naive thymus-derived CD8-positive, alpha-beta T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR230KVL/	polyA plus RNA-seq of naive thymus-derived CD8-positive, alpha-beta T cell.
T	T cell	polyA plus RNA-seq	ENCSR296LJV	CD4-positive, alpha-beta memory T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR296LJV/	polyA plus RNA-seq of CD4-positive, alpha-beta memory T cell.
T	T cell	polyA plus RNA-seq	ENCSR214NBT	CD4-positive, CD25-positive, alpha-beta regulatory T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR214NBT/	polyA plus RNA-seq of CD4-positive, CD25-positive, alpha-beta regulatory T cell.
T	T cell	polyA plus RNA-seq	ENCSR816TAY	CD4-positive, CD25-positive, alpha-beta regulatory T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR816TAY/	polyA plus RNA-seq of CD4-positive, CD25-positive, alpha-beta regulatory T cell.
T	T cell	polyA plus RNA-seq	ENCSR588TSF	CD4-positive, alpha-beta memory T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR588TSF/	polyA plus RNA-seq of CD4-positive, alpha-beta memory T cell.
T	T cell	polyA plus RNA-seq	ENCSR092KKW	naive thymus-derived CD4-positive, alpha-beta T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR092KKW/	polyA plus RNA-seq of naive thymus-derived CD4-positive, alpha-beta T cell with multiple sclerosis.
T	T cell	polyA plus RNA-seq	ENCSR159UIB	naive thymus-derived CD8-positive, alpha-beta T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR159UIB/	polyA plus RNA-seq of naive thymus-derived CD8-positive, alpha-beta T cell with multiple sclerosis.
T	T cell	polyA plus RNA-seq	ENCSR377HQQ	CD4-positive, alpha-beta memory T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR377HQQ/	polyA plus RNA-seq of CD4-positive, alpha-beta memory T cell with multiple sclerosis.
T	T cell	polyA plus RNA-seq	ENCSR673DJS	CD4-positive, alpha-beta memory T cell	Homo sapiens	released	576	https://www.encodeproject.org/experiments/ENCSR673DJS/	polyA plus RNA-seq of CD4-positive, alpha-beta memory T cell with multiple sclerosis.
T	T cell	total RNA-seq	ENCSR008FFS	T-helper 1 cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR008FFS/	
T	T cell	total RNA-seq	ENCSR467JQS	T-helper 2 cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR467JQS/	
T	T cell	total RNA-seq	ENCSR911XSA	naive thymus-derived CD4-positive, alpha-beta T cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR911XSA/	na鴳e CD4+ T cell(CD45RO- RA+CCR7+)
T	T cell	total RNA-seq	ENCSR692DIM	naive thymus-derived CD8-positive, alpha-beta T cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR692DIM/	na鴳e CD8+ T cell(CD45RO-CCR7+)
T	T cell	total RNA-seq	ENCSR899IVV	activated CD4-positive, alpha-beta T cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR899IVV/	CD4+ T cells, activated day 7
T	T cell	total RNA-seq	ENCSR308QRZ	effector memory CD8-positive, alpha-beta T cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR308QRZ/	
T	T cell	total RNA-seq	ENCSR056RVQ	effector memory CD8-positive, alpha-beta T cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR056RVQ/	
T	T cell	total RNA-seq	ENCSR398FYY	effector memory CD8-positive, alpha-beta T cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR398FYY/	
T	T cell	total RNA-seq	ENCSR955OOH	effector memory CD8-positive, alpha-beta T cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR955OOH/	
T	T cell	total RNA-seq	ENCSR380UXM	effector memory CD4-positive, alpha-beta T cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR380UXM/	
T	T cell	total RNA-seq	ENCSR971LSO	effector memory CD8-positive, alpha-beta T cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR971LSO/	
T	T cell	total RNA-seq	ENCSR509WMO	central memory CD4-positive, alpha-beta T cell	Homo sapiens	released	1896	https://www.encodeproject.org/experiments/ENCSR509WMO/	
